SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,address
SHALOM BAPTIST CHURCH,121,DOVER ROAD,SHALOM BAPTIST CHURCH,121 DOVER ROAD SHALOM BAPTIST CHURCH SINGAPORE 139650,139650,22047.332397731,31759.0278784204,1.30349131033986,103.779831115543,121  DOVER ROAD
ANGLO-CHINESE SCHOOL (JUNIOR),16,WINSTEDT ROAD,ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD ANGLO-CHINESE SCHOOL (JUNIOR) SINGAPORE 227988,227988,28849.3350947062,32406.8353125956,1.30935041274966,103.840950265464,16   WINSTEDT ROAD
CAIRNHILL METHODIST CHURCH,16,WINSTEDT ROAD,CAIRNHILL METHODIST CHURCH,16 WINSTEDT ROAD CAIRNHILL METHODIST CHURCH SINGAPORE 227988,227988,28949.8458368964,32368.4710064493,1.30900345657234,103.84185340188,16   WINSTEDT ROAD
EPWORTH STUDENT CARE (ANGLO-CHINESE SCHOOL JUNIOR),16,WINSTEDT ROAD,EPWORTH STUDENT CARE (ANGLO-CHINESE SCHOOL JUNIOR),16 WINSTEDT ROAD EPWORTH STUDENT CARE (ANGLO-CHINESE SCHOOL JUNIOR) SINGAPORE 227988,227988,28916.3166898089,32403.7520947009,1.30932252730174,103.841552127373,16   WINSTEDT ROAD
ANGLO-CHINESE SCHOOL (PRIMARY),50,BARKER ROAD,ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD ANGLO-CHINESE SCHOOL (PRIMARY) SINGAPORE 309918,309918,28254.9829477305,33404.2340238672,1.31837054523521,103.835609732354,50   BARKER ROAD
MCYC SCC @ ACS (P),50,BARKER ROAD,MCYC SCC @ ACS (P),50 BARKER ROAD MCYC SCC @ ACS (P) SINGAPORE 309918,309918,28225.5395849617,33442.7207942754,1.31871860621788,103.83534516884,50   BARKER ROAD
3 TAMPINES STREET 22 SINGAPORE 529366,3,TAMPINES STREET 22,NIL,3 TAMPINES STREET 22 SINGAPORE 529366,529366,41186.5743079996,36741.9621954821,1.34855287558648,103.951808105552,3    Tampines Street 22
ASSUMPTION ENGLISH SCHOOL,622,UPPER BUKIT TIMAH ROAD,ASSUMPTION ENGLISH SCHOOL,622 UPPER BUKIT TIMAH ROAD ASSUMPTION ENGLISH SCHOOL SINGAPORE 678117,678117,20584.7646280937,38934.3043401875,1.36838160662857,103.766687526556,622  UPPER BUKIT TIMAH ROAD
ASSUMPTION VOCATIONAL INSTITUTE,622,UPPER BUKIT TIMAH ROAD,ASSUMPTION VOCATIONAL INSTITUTE,622 UPPER BUKIT TIMAH ROAD ASSUMPTION VOCATIONAL INSTITUTE SINGAPORE 678117,678117,20467.9607513407,39008.0823083557,1.36904879818856,103.765637944184,622  UPPER BUKIT TIMAH ROAD
BOYS' TOWN SINGAPORE,622,UPPER BUKIT TIMAH ROAD,BOYS' TOWN SINGAPORE,622 UPPER BUKIT TIMAH ROAD BOYS' TOWN SINGAPORE SINGAPORE 678117,678117,20723.8791869851,39020.6978526283,1.36916295281535,103.767937546001,622  UPPER BUKIT TIMAH ROAD
ASSUMPTION PATHWAY SCHOOL,30,CASHEW ROAD,ASSUMPTION PATHWAY SCHOOL,30 CASHEW ROAD ASSUMPTION PATHWAY SCHOOL SINGAPORE 679697,679697,20503.7068768945,39076.8485643137,1.3696707043227,103.765959130581,30   Cashew Road
BARTLEY SECONDARY SCHOOL,10,JALAN BUNGA RAMPAI,BARTLEY SECONDARY SCHOOL,10 JALAN BUNGA RAMPAI BARTLEY SECONDARY SCHOOL SINGAPORE 538403,538403,33507.4424001053,35790.8945052791,1.33995415587811,103.882806211705,10   JALAN BUNGA RAMPAI
BEACON PRIMARY SCHOOL,36,BUKIT PANJANG RING ROAD,BEACON PRIMARY SCHOOL,36 BUKIT PANJANG RING ROAD BEACON PRIMARY SCHOOL SINGAPORE 679944,679944,21357.64699852,40655.688190354,1.38394936211823,103.773632022975,36   Bukit Panjang Ring Road
YMCA STUDENT CARE CENTRE @ BEACON,36,BUKIT PANJANG RING ROAD,YMCA STUDENT CARE CENTRE @ BEACON,36 BUKIT PANJANG RING ROAD YMCA STUDENT CARE CENTRE @ BEACON SINGAPORE 679944,679944,21383.9620138323,40687.9868531004,1.38424146547316,103.773868475891,36   Bukit Panjang Ring Road
BEATTY SECONDARY SCHOOL,1,TOA PAYOH NORTH,BEATTY SECONDARY SCHOOL,1 TOA PAYOH NORTH BEATTY SECONDARY SCHOOL SINGAPORE 318990,318990,30110.2946048304,35993.876840448,1.341790284928,103.852280842345,1    TOA PAYOH NORTH
BEDOK GREEN PRIMARY SCHOOL,1,BEDOK SOUTH AVENUE 2,BEDOK GREEN PRIMARY SCHOOL,1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317,469317,39636.5324891713,33965.6893824711,1.32344593287992,103.937878976352,1    BEDOK SOUTH AVE 2
KNOWLEDGE PARK EDUCARE (BG) PTE LTD,1,BEDOK SOUTH AVENUE 2,KNOWLEDGE PARK EDUCARE (BG) PTE LTD,1 BEDOK SOUTH AVENUE 2 KNOWLEDGE PARK EDUCARE (BG) PTE LTD SINGAPORE 469317,469317,39621.6222987836,34026.5434058774,1.32399627990304,103.937745023577,1    BEDOK SOUTH AVE 2
